ticket_id,customer_id,issue_category,resolution_time,customer_satisfaction,ticket_text
42,1510,network,10.77,1,Laptop overheating and shutting down.
43,1681,network,7.25,2,Frequent disconnections from corporate network.
44,1475,network,7.1,2,VPN connection dropping intermittently.
45,1699,software,6.55,4,Need assistance updating antivirus software.
46,1975,software,2.87,5,Blue screen error on startup.
47,1782,software,6.23,5,Frequent disconnections from corporate network.
48,1189,software,5.07,4,Need assistance updating antivirus software.
49,1957,software,5.7,4,Need assistance updating antivirus software.
50,1686,network,8.89,4,Software installation fails with error code.
51,1957,software,4.06,5,Blue screen error on startup.
52,1562,hardware,13.15,,Printer not responding to print commands.
53,1875,software,4.17,3,VPN connection dropping intermittently.
54,1566,software,5.61,4,Application crashing during use.
55,1243,hardware,13.71,1,Keyboard keys not working properly.
56,1831,software,7.07,3,Application crashing during use.
57,1504,network,7.47,3,Frequent disconnections from corporate network.
58,1130,software,5.69,5,Blue screen error on startup.
59,1484,software,4.46,4,Frequent disconnections from corporate network.
60,1818,software,8.76,3,Blue screen error on startup.
61,1646,software,6.17,3,VPN connection dropping intermittently.
62,1020,software,5.13,4,Keyboard keys not working properly.
63,1840,software,5.47,3,Keyboard keys not working properly.
64,1166,software,5.61,5,VPN connection dropping intermittently.
65,1273,hardware,11.31,1,Printer not responding to print commands.
66,1387,software,4.64,4,Need assistance updating antivirus software.
67,1600,network,7.21,2,Blue screen error on startup.
68,1315,software,4.77,3,Unable to connect to WiFi network.
69,1013,network,5.72,4,Unable to connect to WiFi network.
70,1241,software,6.08,4,Need assistance updating antivirus software.
71,1776,software,3.8,4,Frequent disconnections from corporate network.
72,1345,network,5.88,3,Blue screen error on startup.
73,1564,software,4.98,4,Laptop overheating and shutting down.
74,1897,network,7.74,,Keyboard keys not working properly.
75,1339,network,8.5,2,Application crashing during use.
76,1091,software,4.15,4,Laptop overheating and shutting down.
77,1366,software,4.41,3,Application crashing during use.
78,1955,hardware,12.08,2,Keyboard keys not working properly.
79,1454,software,5.95,3,Unable to connect to WiFi network.
80,1427,software,5.88,4,VPN connection dropping intermittently.
81,1508,software,5.05,3,Printer not responding to print commands.
82,1775,network,8.34,4,Software installation fails with error code.
83,1942,hardware,10.69,1,Frequent disconnections from corporate network.
84,1034,software,4.02,3,Need assistance updating antivirus software.
85,1205,software,7.21,2,Unable to connect to WiFi network.
86,1080,network,10.66,3,VPN connection dropping intermittently.
87,1931,software,6.19,4,VPN connection dropping intermittently.
88,1561,software,4.36,4,Application crashing during use.
89,1871,hardware,11.62,3,VPN connection dropping intermittently.
90,1387,network,9.96,3,Blue screen error on startup.
91,1001,software,3.17,5,Frequent disconnections from corporate network.
92,1389,hardware,15.08,1,Software installation fails with error code.
93,1565,software,2.39,5,Unable to connect to WiFi network.
94,1105,software,6.06,3,Blue screen error on startup.
95,1771,network,10.91,2,Unable to connect to WiFi network.
96,1821,hardware,9.66,2,Printer not responding to print commands.
97,1476,network,7.7,3,Software installation fails with error code.
98,1702,software,6,4,VPN connection dropping intermittently.
99,1401,software,7.78,3,Printer not responding to print commands.
100,1729,network,7.44,4,Application crashing during use.
101,1555,software,3.83,4,Printer not responding to print commands.
102,1161,network,7.15,2,Laptop overheating and shutting down.
103,1201,network,4.89,4,Application crashing during use.
104,1957,software,6.35,5,Software installation fails with error code.
105,1995,hardware,8.46,2,Frequent disconnections from corporate network.
106,1269,software,4.69,3,Laptop overheating and shutting down.
107,1862,software,6.36,3,Unable to connect to WiFi network.
108,1815,network,7.25,2,Need assistance updating antivirus software.
109,1270,network,9.52,3,Need assistance updating antivirus software.
110,1455,network,5.92,4,Laptop overheating and shutting down.
111,1461,network,9.92,2,Frequent disconnections from corporate network.
112,1726,software,5.51,4,Blue screen error on startup.
113,1251,software,4.87,4,Need assistance updating antivirus software.
114,1701,software,5.2,3,Laptop overheating and shutting down.
115,1295,network,5.43,3,Software installation fails with error code.
116,1724,software,5.16,4,Keyboard keys not working properly.
117,1719,hardware,9.57,1,Frequent disconnections from corporate network.
118,1748,network,5.48,4,Frequent disconnections from corporate network.
119,1337,hardware,7.99,2,Blue screen error on startup.
120,1878,hardware,9.61,1,Application crashing during use.
121,1052,network,6.79,3,VPN connection dropping intermittently.
122,1791,software,1.38,5,Need assistance updating antivirus software.
123,1921,software,6.61,3,VPN connection dropping intermittently.
124,1216,software,4.79,5,VPN connection dropping intermittently.
125,1763,software,1.59,4,Software installation fails with error code.
126,1187,software,8.2,3,Unable to connect to WiFi network.
127,1379,software,6.86,5,VPN connection dropping intermittently.
128,1492,software,4.48,5,Frequent disconnections from corporate network.
129,1040,software,3.74,5,Blue screen error on startup.
130,1156,software,5.6,3,Blue screen error on startup.
131,1014,software,5.3,3,Keyboard keys not working properly.
132,1812,software,5.81,4,Unable to connect to WiFi network.
133,1064,network,6.32,3,Application crashing during use.
134,1856,network,10.2,1,Frequent disconnections from corporate network.
135,1838,hardware,8.58,4,Frequent disconnections from corporate network.
136,1520,software,6.02,4,Keyboard keys not working properly.
137,1343,network,6.41,4,Printer not responding to print commands.
138,1128,network,13.3,3,Keyboard keys not working properly.
139,1647,network,9.39,2,VPN connection dropping intermittently.
140,1471,hardware,18.65,2,Laptop overheating and shutting down.
141,1062,software,6.24,4,Blue screen error on startup.
142,1138,hardware,8.32,2,Keyboard keys not working properly.
143,1498,software,6.24,3,VPN connection dropping intermittently.
144,1592,software,6.35,5,Need assistance updating antivirus software.
145,1391,software,5.56,5,Unable to connect to WiFi network.
146,1674,software,5.95,5,Frequent disconnections from corporate network.
147,1418,network,9.52,1,Printer not responding to print commands.
148,1288,hardware,7.02,4,Unable to connect to WiFi network.
149,1378,hardware,6.81,3,VPN connection dropping intermittently.
150,1772,software,3.81,4,Application crashing during use.
151,1489,hardware,10.38,1,Need assistance updating antivirus software.
152,1230,hardware,9.33,1,VPN connection dropping intermittently.
153,1040,software,3.54,4,Laptop overheating and shutting down.
154,1027,network,9.55,1,Software installation fails with error code.
155,1134,software,5.42,3,VPN connection dropping intermittently.
156,1200,software,5.25,4,Keyboard keys not working properly.
157,1839,network,7.48,3,VPN connection dropping intermittently.
158,1779,network,7.24,3,Keyboard keys not working properly.
159,1929,software,3.74,4,Application crashing during use.
160,1032,network,9.87,1,Frequent disconnections from corporate network.
161,1047,software,3.94,5,Blue screen error on startup.
162,1502,hardware,10.63,2,Software installation fails with error code.
163,1406,hardware,14.99,1,Application crashing during use.
164,1573,network,7.34,3,Keyboard keys not working properly.
165,1727,hardware,12.88,3,Blue screen error on startup.
166,1804,network,9.14,1,Laptop overheating and shutting down.
167,1098,network,8.62,2,Unable to connect to WiFi network.
168,1683,software,5.65,4,Software installation fails with error code.
169,1871,software,4.86,4,Printer not responding to print commands.
170,1725,software,5.05,3,Application crashing during use.
171,1986,software,4.18,3,Unable to connect to WiFi network.
172,1546,network,8.08,2,Unable to connect to WiFi network.
173,1960,network,6.83,5,VPN connection dropping intermittently.
174,1738,software,6.51,4,VPN connection dropping intermittently.
175,1612,software,2.45,5,Printer not responding to print commands.
176,1942,software,5.72,5,Printer not responding to print commands.
177,1461,network,8.67,2,Keyboard keys not working properly.
178,1642,software,5.37,5,Printer not responding to print commands.
179,1768,network,10.05,2,Unable to connect to WiFi network.
180,1004,network,7.43,2,Keyboard keys not working properly.
181,1217,software,5.38,5,Blue screen error on startup.
182,1502,network,4.57,5,Frequent disconnections from corporate network.
183,1766,network,7.17,4,Frequent disconnections from corporate network.
184,1397,software,6.28,3,Frequent disconnections from corporate network.
185,1870,software,2.99,5,Software installation fails with error code.
186,1794,software,5.24,5,Software installation fails with error code.
187,1392,network,6.64,3,Printer not responding to print commands.
188,1206,network,7.78,2,Frequent disconnections from corporate network.
189,1014,network,6.76,3,Laptop overheating and shutting down.
190,1857,network,5.51,5,VPN connection dropping intermittently.
191,1553,software,5.58,4,Laptop overheating and shutting down.
192,1891,hardware,9.85,1,Frequent disconnections from corporate network.
193,1460,software,5.92,3,Frequent disconnections from corporate network.
194,1690,software,6.19,3,VPN connection dropping intermittently.
195,1574,software,6.84,4,Frequent disconnections from corporate network.
196,1863,software,5.2,4,Application crashing during use.
197,1742,software,6.9,,Unable to connect to WiFi network.
198,1240,software,3.54,5,Keyboard keys not working properly.
199,1563,software,6.36,4,VPN connection dropping intermittently.
200,1095,network,8.92,2,Frequent disconnections from corporate network.
201,1899,software,5.35,3,Software installation fails with error code.
202,1733,hardware,11.33,1,Software installation fails with error code.
203,1484,network,6.08,3,Unable to connect to WiFi network.
204,1406,network,5.61,3,Software installation fails with error code.
205,1230,software,7.56,4,Keyboard keys not working properly.
206,1748,software,4.75,4,Need assistance updating antivirus software.
207,1654,software,4.73,3,Need assistance updating antivirus software.
208,1170,software,3.35,4,Need assistance updating antivirus software.
209,1540,network,5.04,3,Unable to connect to WiFi network.
210,1035,software,4.87,5,Unable to connect to WiFi network.
211,1524,software,4.49,3,Keyboard keys not working properly.
212,1159,hardware,10.01,1,VPN connection dropping intermittently.
213,1838,software,5.13,4,Printer not responding to print commands.
214,1698,network,12.98,1,Need assistance updating antivirus software.
215,1242,network,7.32,2,Software installation fails with error code.
216,1085,network,11.16,1,Laptop overheating and shutting down.
217,1795,software,7.46,2,Printer not responding to print commands.
218,1577,network,9.51,1,Keyboard keys not working properly.
219,1681,software,4.65,3,VPN connection dropping intermittently.
220,1556,software,2.96,5,Software installation fails with error code.
221,1573,network,8.96,2,Frequent disconnections from corporate network.
222,1952,network,10.04,2,VPN connection dropping intermittently.
223,1645,network,11.5,2,Need assistance updating antivirus software.
224,1795,hardware,7.15,3,Need assistance updating antivirus software.
225,1027,network,7.51,2,Frequent disconnections from corporate network.
226,1619,software,3.58,4,Keyboard keys not working properly.
227,1555,hardware,8.1,3,Blue screen error on startup.
228,1339,software,6,4,VPN connection dropping intermittently.
229,1797,hardware,7.96,3,Frequent disconnections from corporate network.
230,1957,software,3.76,4,Keyboard keys not working properly.
231,1330,hardware,12.39,3,Keyboard keys not working properly.
232,1639,network,8.9,2,Unable to connect to WiFi network.
233,1505,network,8.7,2,VPN connection dropping intermittently.
234,1347,software,4.02,4,Software installation fails with error code.
235,1472,hardware,13.88,1,Blue screen error on startup.
236,1230,hardware,10.04,1,Application crashing during use.
237,1189,network,12.76,2,Laptop overheating and shutting down.
238,1224,network,8.32,4,VPN connection dropping intermittently.
239,1384,hardware,3,5,Printer not responding to print commands.
240,1376,network,3.24,5,Keyboard keys not working properly.
241,1282,software,5.94,4,Unable to connect to WiFi network.
242,1957,hardware,13.9,1,Frequent disconnections from corporate network.
243,1632,software,3.82,5,Need assistance updating antivirus software.
244,1627,software,8.15,2,Frequent disconnections from corporate network.
245,1972,software,7.49,2,Frequent disconnections from corporate network.
246,1744,network,8.42,2,Blue screen error on startup.
247,1258,hardware,11.62,1,VPN connection dropping intermittently.
248,1358,software,6.34,4,Frequent disconnections from corporate network.
249,1709,hardware,15.67,3,Blue screen error on startup.
250,1455,network,9.36,1,Application crashing during use.
251,1410,hardware,10.56,3,Software installation fails with error code.
252,1648,software,6.01,4,Application crashing during use.
253,1317,network,9.07,2,VPN connection dropping intermittently.
254,1676,network,9.85,2,Need assistance updating antivirus software.
255,1224,software,2.64,4,Application crashing during use.
256,1818,software,5.47,5,Blue screen error on startup.
257,1233,hardware,11.38,2,Blue screen error on startup.
258,1683,network,7.85,4,Laptop overheating and shutting down.
259,1663,network,9.57,2,Keyboard keys not working properly.
260,1974,software,7.88,4,Printer not responding to print commands.
261,1826,software,5.21,,Printer not responding to print commands.
262,1373,software,6.04,3,VPN connection dropping intermittently.
263,1671,hardware,14.82,1,Keyboard keys not working properly.
264,1607,hardware,10.48,1,Laptop overheating and shutting down.
265,1471,hardware,7.33,3,Unable to connect to WiFi network.
266,1232,software,5.92,3,Frequent disconnections from corporate network.
267,1691,software,1.7,5,Application crashing during use.
268,1112,software,1.55,5,Keyboard keys not working properly.
269,1829,software,5.5,5,Frequent disconnections from corporate network.
270,1496,hardware,2.97,5,Unable to connect to WiFi network.
271,1441,network,5.37,4,Need assistance updating antivirus software.
272,1563,software,4.43,5,Laptop overheating and shutting down.
273,1267,network,6.56,4,Frequent disconnections from corporate network.
274,1509,software,4.78,5,Laptop overheating and shutting down.
275,1806,hardware,13.34,1,Laptop overheating and shutting down.
276,1385,software,5.36,3,Keyboard keys not working properly.
277,1386,network,6.32,4,Blue screen error on startup.
278,1112,hardware,14.06,2,Software installation fails with error code.
279,1612,software,2.86,5,VPN connection dropping intermittently.
280,1624,network,8.44,3,Printer not responding to print commands.
281,1951,network,4.92,3,Laptop overheating and shutting down.
282,1080,network,8.5,4,Keyboard keys not working properly.
283,1698,network,7.36,3,Keyboard keys not working properly.
284,1112,hardware,13.25,1,Frequent disconnections from corporate network.
285,1001,software,6.08,4,Frequent disconnections from corporate network.
286,1641,hardware,8.24,3,Application crashing during use.
287,1219,software,3.83,5,Laptop overheating and shutting down.
288,1565,network,7.37,3,Software installation fails with error code.
289,1854,software,7.81,2,VPN connection dropping intermittently.
290,1996,network,11.24,1,VPN connection dropping intermittently.
291,1735,software,3.55,5,Need assistance updating antivirus software.
292,1224,hardware,12.4,3,Need assistance updating antivirus software.
293,1384,software,2.4,5,Application crashing during use.
294,1402,software,4.33,5,Printer not responding to print commands.
295,1637,network,6.14,4,Need assistance updating antivirus software.
296,1129,network,10.14,3,Unable to connect to WiFi network.
297,1052,network,5.42,3,Application crashing during use.
298,1683,software,5.64,5,VPN connection dropping intermittently.
299,1729,network,8,4,VPN connection dropping intermittently.
300,1671,software,4.74,5,Software installation fails with error code.
301,1709,software,7.51,2,Keyboard keys not working properly.
302,1415,software,7.64,2,Unable to connect to WiFi network.
303,1246,network,7.71,3,Printer not responding to print commands.
304,1835,network,7.31,2,Frequent disconnections from corporate network.
305,1438,hardware,5.48,3,Application crashing during use.
306,1202,software,4.99,3,Need assistance updating antivirus software.
307,1183,software,7.93,3,Blue screen error on startup.
308,1122,network,7.74,3,Software installation fails with error code.
309,1400,hardware,12.19,1,VPN connection dropping intermittently.
310,1766,software,2.9,4,Blue screen error on startup.
311,1293,software,4.35,4,Application crashing during use.
312,1279,hardware,11.39,2,Laptop overheating and shutting down.
313,1836,network,8.21,2,Printer not responding to print commands.
314,1883,software,6.24,3,Laptop overheating and shutting down.
315,1609,software,4.1,5,Application crashing during use.
316,1197,network,4.5,5,Laptop overheating and shutting down.
317,1981,hardware,13.37,3,Printer not responding to print commands.
318,1906,software,3.6,5,Keyboard keys not working properly.
319,1510,software,5.76,3,Application crashing during use.
320,1751,network,8.9,3,Blue screen error on startup.
321,1143,network,4.67,4,Laptop overheating and shutting down.
322,1608,software,6.57,4,Printer not responding to print commands.
323,1200,software,4.15,3,Need assistance updating antivirus software.
324,1123,network,8.11,3,Frequent disconnections from corporate network.
325,1186,software,4.46,4,Printer not responding to print commands.
326,1325,software,7.43,2,Software installation fails with error code.
327,1463,network,10.69,2,Frequent disconnections from corporate network.
328,1348,software,2.28,4,Need assistance updating antivirus software.
329,1770,network,12.52,1,Unable to connect to WiFi network.
330,1659,hardware,7.97,2,Blue screen error on startup.
331,1763,software,8.15,2,VPN connection dropping intermittently.
332,1954,network,7.49,2,Need assistance updating antivirus software.
333,1931,software,4.49,,Keyboard keys not working properly.
334,1402,software,4.63,4,Frequent disconnections from corporate network.
335,1345,software,4.4,4,Keyboard keys not working properly.
336,1962,software,8.79,2,Frequent disconnections from corporate network.
337,1510,software,4.89,4,Software installation fails with error code.
338,1146,network,7.4,3,Unable to connect to WiFi network.
339,1147,network,8.15,3,VPN connection dropping intermittently.
340,1863,network,6.07,4,Software installation fails with error code.
341,1710,software,7.4,,Need assistance updating antivirus software.
342,1819,hardware,5.59,5,Keyboard keys not working properly.
343,1488,software,4.08,4,Frequent disconnections from corporate network.
344,1928,network,9.87,1,Need assistance updating antivirus software.
345,1935,software,5.06,4,Printer not responding to print commands.
346,1639,hardware,11.65,2,Unable to connect to WiFi network.
347,1550,software,7.3,3,Blue screen error on startup.
348,1337,hardware,13.01,3,Printer not responding to print commands.
349,1871,network,8.27,3,Keyboard keys not working properly.
350,1640,network,12.18,3,Unable to connect to WiFi network.
351,1778,hardware,8.11,2,Unable to connect to WiFi network.
352,1987,software,4.85,3,Need assistance updating antivirus software.
353,1952,software,4.95,3,Printer not responding to print commands.
354,1472,software,4.85,5,Need assistance updating antivirus software.
355,1945,hardware,6.79,5,Need assistance updating antivirus software.
356,1150,software,2.62,5,Need assistance updating antivirus software.
357,1414,software,5.63,4,Keyboard keys not working properly.
358,1989,software,4.05,4,Frequent disconnections from corporate network.
359,1297,software,7.86,4,Frequent disconnections from corporate network.
360,1610,software,4.89,5,Keyboard keys not working properly.
361,1262,hardware,9.25,2,VPN connection dropping intermittently.
362,1763,hardware,13.28,2,Blue screen error on startup.
363,1143,hardware,11.21,1,Software installation fails with error code.
364,1345,network,7.65,3,Blue screen error on startup.
365,1623,software,4.04,4,Keyboard keys not working properly.
366,1571,software,10.49,1,Laptop overheating and shutting down.
367,1880,software,5.54,5,Software installation fails with error code.
368,1001,software,6.63,4,VPN connection dropping intermittently.
369,1896,hardware,6.93,5,Application crashing during use.
370,1303,software,4.13,3,Software installation fails with error code.
371,1253,software,8.17,3,Unable to connect to WiFi network.
372,1651,network,10.79,1,Keyboard keys not working properly.
373,1452,software,5.69,3,Application crashing during use.
374,1036,software,4.43,4,Blue screen error on startup.
375,1159,software,4.65,3,Application crashing during use.
376,1008,network,6.65,3,Keyboard keys not working properly.
377,1232,network,5.69,3,Blue screen error on startup.
378,1098,software,6.39,3,Keyboard keys not working properly.
379,1658,network,9.08,2,Printer not responding to print commands.
380,1815,network,9.47,1,Laptop overheating and shutting down.
381,1207,network,7.33,3,VPN connection dropping intermittently.
382,1130,network,8.51,3,VPN connection dropping intermittently.
383,1403,network,7.14,3,Unable to connect to WiFi network.
384,1151,software,3.91,5,Laptop overheating and shutting down.
385,1053,software,7.5,3,Laptop overheating and shutting down.
386,1119,hardware,10.36,2,Unable to connect to WiFi network.
387,1672,software,5.76,3,Blue screen error on startup.
388,1919,software,6.25,4,Unable to connect to WiFi network.
389,1627,network,8.27,4,Blue screen error on startup.
390,1586,network,8.48,2,Unable to connect to WiFi network.
391,1624,software,3.37,4,Software installation fails with error code.
392,1967,network,6.21,3,Software installation fails with error code.
393,1419,software,3.58,5,Printer not responding to print commands.
394,1421,software,5.91,4,Frequent disconnections from corporate network.
395,1103,software,5.11,4,Unable to connect to WiFi network.
396,1851,network,6.21,3,Laptop overheating and shutting down.
397,1253,software,5.87,5,Software installation fails with error code.
398,1226,software,5.82,3,Need assistance updating antivirus software.
399,1111,network,6.61,3,Blue screen error on startup.
400,1509,software,4.96,4,Software installation fails with error code.
401,1472,software,5.82,3,Software installation fails with error code.
402,1098,hardware,7.42,2,Keyboard keys not working properly.
403,1152,network,9.13,1,Blue screen error on startup.
404,1860,hardware,10.9,2,VPN connection dropping intermittently.
405,1913,software,3.5,5,Application crashing during use.
406,1895,software,5.33,5,Blue screen error on startup.
407,1877,network,8.73,3,Printer not responding to print commands.
408,1337,software,4.06,3,Keyboard keys not working properly.
409,1705,network,6.91,4,Blue screen error on startup.
410,1821,software,3.49,5,Blue screen error on startup.
411,1162,network,7.1,2,Frequent disconnections from corporate network.
412,1719,hardware,9.96,1,Keyboard keys not working properly.
413,1956,software,4.18,3,Blue screen error on startup.
414,1680,software,2.77,5,Application crashing during use.
415,1995,network,6.62,3,Application crashing during use.
416,1160,network,7.17,4,Need assistance updating antivirus software.
417,1579,software,6.23,3,Keyboard keys not working properly.
418,1800,software,5.89,3,VPN connection dropping intermittently.
419,1397,network,9.67,1,Blue screen error on startup.
420,1276,software,3.89,5,Frequent disconnections from corporate network.
421,1815,hardware,10.42,1,Frequent disconnections from corporate network.
422,1915,software,1.37,4,Laptop overheating and shutting down.
423,1503,software,5.64,3,VPN connection dropping intermittently.
424,1895,hardware,11.83,1,Frequent disconnections from corporate network.
425,1391,network,7.3,2,Application crashing during use.
426,1134,software,5.44,5,Laptop overheating and shutting down.
427,1194,hardware,5.46,4,Unable to connect to WiFi network.
428,1400,network,6.4,4,Frequent disconnections from corporate network.
429,1639,software,6.15,3,Printer not responding to print commands.
430,1032,software,5.77,3,Keyboard keys not working properly.
431,1687,software,4.38,3,Frequent disconnections from corporate network.
432,1459,software,6.22,4,Software installation fails with error code.
433,1954,hardware,10.41,1,VPN connection dropping intermittently.
434,1882,software,4.24,3,Software installation fails with error code.
435,1469,network,7.63,3,Need assistance updating antivirus software.
436,1374,hardware,8.63,3,Frequent disconnections from corporate network.
437,1021,network,5.63,3,Unable to connect to WiFi network.
438,1749,software,6.89,3,Software installation fails with error code.
439,1669,software,4.15,4,Software installation fails with error code.
440,1037,software,3.75,5,VPN connection dropping intermittently.
441,1229,software,2.71,4,Laptop overheating and shutting down.
442,1364,hardware,2.09,4,Unable to connect to WiFi network.
443,1562,software,6.05,4,Software installation fails with error code.
444,1437,software,6.19,3,Blue screen error on startup.
445,1775,network,10.39,2,Unable to connect to WiFi network.
446,1282,hardware,9.55,2,Blue screen error on startup.
447,1026,hardware,9.03,1,Frequent disconnections from corporate network.
448,1225,software,4.24,3,Software installation fails with error code.
449,1276,network,7.17,3,Software installation fails with error code.
450,1797,network,10.24,1,Application crashing during use.
451,1608,network,7.95,2,Application crashing during use.
452,1283,network,8.76,3,VPN connection dropping intermittently.
453,1878,software,4.34,3,Keyboard keys not working properly.
454,1959,hardware,13.96,1,Keyboard keys not working properly.
455,1480,software,2.14,4,Laptop overheating and shutting down.
456,1452,network,5.56,4,VPN connection dropping intermittently.
457,1828,network,8.76,2,Keyboard keys not working properly.
458,1815,network,11.5,3,VPN connection dropping intermittently.
459,1658,network,7.55,3,Software installation fails with error code.
460,1515,network,6.32,3,Application crashing during use.
461,1546,network,10,,Application crashing during use.
462,1191,software,5.49,3,Application crashing during use.
463,1048,hardware,13.87,2,Keyboard keys not working properly.
464,1511,software,3.06,5,Unable to connect to WiFi network.
465,1016,software,6.82,4,Printer not responding to print commands.
466,1171,hardware,5.35,3,Software installation fails with error code.
467,1219,network,7.42,3,Frequent disconnections from corporate network.
468,1157,network,8.83,2,VPN connection dropping intermittently.
469,1476,hardware,10.56,2,Application crashing during use.
470,1045,network,10.12,,Application crashing during use.
471,1372,software,2.26,5,Application crashing during use.
472,1517,software,5.21,3,Software installation fails with error code.
473,1098,software,6.8,4,Application crashing during use.
474,1891,software,5.09,4,Laptop overheating and shutting down.
475,1744,software,3.29,5,VPN connection dropping intermittently.
476,1036,network,10.02,1,Software installation fails with error code.
477,1279,network,6.7,4,VPN connection dropping intermittently.
478,1348,software,3.76,4,Blue screen error on startup.
479,1496,software,3.57,4,Need assistance updating antivirus software.
480,1301,network,7.6,2,Laptop overheating and shutting down.
481,1180,hardware,10.55,1,Unable to connect to WiFi network.
482,1606,software,3.1,,Unable to connect to WiFi network.
483,1098,hardware,6.81,5,Printer not responding to print commands.
484,1699,software,3.96,5,Laptop overheating and shutting down.
485,1992,software,3.57,4,VPN connection dropping intermittently.
486,1115,software,5.06,4,Unable to connect to WiFi network.
487,1190,hardware,11.08,1,Need assistance updating antivirus software.
488,1252,network,8.45,2,Unable to connect to WiFi network.
489,1980,software,5.34,5,Application crashing during use.
490,1927,network,11.34,1,Printer not responding to print commands.
491,1982,software,5.64,5,Software installation fails with error code.
492,1160,software,6.18,4,Frequent disconnections from corporate network.
493,1255,hardware,8.76,3,Frequent disconnections from corporate network.
494,1322,hardware,12.83,1,Unable to connect to WiFi network.
495,1127,network,7.08,3,VPN connection dropping intermittently.
496,1017,network,8.82,2,VPN connection dropping intermittently.
497,1792,software,2.94,5,Application crashing during use.
498,1734,software,5.25,4,Unable to connect to WiFi network.
499,1565,network,6.05,5,Unable to connect to WiFi network.
500,1569,software,6.4,4,Frequent disconnections from corporate network.
501,1322,software,6.31,5,Blue screen error on startup.
502,1871,hardware,8.6,2,Unable to connect to WiFi network.
503,1685,network,12.1,1,Software installation fails with error code.
504,1791,software,4.57,4,Printer not responding to print commands.
505,1625,software,2.58,5,Printer not responding to print commands.
506,1287,software,3.83,5,Software installation fails with error code.
507,1942,software,3.43,4,Blue screen error on startup.
508,1853,software,5.57,3,VPN connection dropping intermittently.
509,1662,network,5.53,5,Frequent disconnections from corporate network.
510,1961,hardware,8.38,3,Printer not responding to print commands.
511,1638,software,5.47,3,Laptop overheating and shutting down.
512,1154,network,8.28,3,Need assistance updating antivirus software.
513,1489,software,4.98,5,Frequent disconnections from corporate network.
514,1385,network,8.25,2,Blue screen error on startup.
515,1985,network,7.26,4,Laptop overheating and shutting down.
516,1784,hardware,5.19,5,Unable to connect to WiFi network.
517,1103,software,4.4,5,Software installation fails with error code.
518,1928,software,5.7,5,Unable to connect to WiFi network.
519,1392,network,7.73,3,Application crashing during use.
520,1810,software,5.59,3,Keyboard keys not working properly.
521,1245,network,6.83,3,Software installation fails with error code.
522,1175,software,6.49,3,Laptop overheating and shutting down.
523,1038,hardware,2.33,5,Need assistance updating antivirus software.
524,1476,software,5.21,3,Keyboard keys not working properly.
525,1681,software,7.02,,Application crashing during use.
526,1758,software,7.25,2,VPN connection dropping intermittently.
527,1537,hardware,9.3,1,Application crashing during use.
528,1866,software,3.01,5,Keyboard keys not working properly.
529,1817,software,7.05,2,Printer not responding to print commands.
530,1920,software,4.92,4,Frequent disconnections from corporate network.
531,1407,network,7.68,3,Blue screen error on startup.
532,1524,network,6.21,3,Unable to connect to WiFi network.
533,1827,software,3.13,5,VPN connection dropping intermittently.
534,1505,network,9.13,2,Blue screen error on startup.
